speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;red_list_cat;conclusion_status_label;red_list_cat_prev;conclusion_status_label_prev;taxFamily_en;Area_Classification;Wint_pop_less1Qua;Pop_Size_Variation;Bird_Pop_Above;Worserating_pop;taxFamily
A487;Iduna pallida s. str.;N;244000;168000;428000;LC;Secure;LC;Unknown;Warblers;Large;N/A;260000;No;No;Secure
A488;Iduna opaca;N;13400;5000;5000;LC;Secure;LC;Secure;Warblers;Small;N/A;0;No;No;Passeriformes
A490;Poecile cinctus;N;174000;71800;196000;NT;Near Threatened;VU;Threatened;Tits;Small;N/A;124200;No;Yes;Threatened
A491;Poecile lugubris;N;224000;26000;74100;LC;Secure;LC;Unknown;Tits;Large;N/A;48100;No;No;Passeriformes
A492;Poecile montanus;N;1650000;2050000;3550000;NT;Near Threatened;VU;Threatened;Tits;Large;N/A;1500000;No;Yes;Threatened
A493;Poecile palustris;N;1760000;2880000;5180000;LC;Secure;LC;Secure;Tits;Large;N/A;2300000;Yes;No;Passeriformes
A494;Pastor roseus;N;11000;1200;35000;LC;Unknown;LC;Unknown;Starlings;Small;N/A;33800;No;No;Passeriformes
A496;Lanius meridionalis;N;160000;360000;607000;VU;Threatened;NE;Not Evaluated;Shrikes;Small;N/A;247000;No;No;Not
A497;Lophophanes cristatus;N;1930000;3490000;6000000;LC;Secure;LC;Secure;Tits;Large;N/A;2510000;Yes;No;Passeriformes
A498;Phylloscopus orientalis;N;55400;14000;37100;LC;Unknown;NE;Not Evaluated;Warblers;Small;N/A;23100;No;No;B
A499;Phylloscopus bonelli s. str.;N;428000;2360000;3120000;LC;Secure;LC;Secure;Warblers;Large;N/A;760000;No;No;Secure
A500;Sylvia sarda s. str.;N;29400;60000;65000;LC;Unknown;LC;Unknown;Warblers;Small;N/A;5000;No;No;Unknown
A506;Polysticta stelleri;Y;-1;800;1600;EN;Threatened;EN;Threatened;Ducks, geese and swans;Small;Yes;800;No;Yes;Threatened
A511;Falco cherrug;N;33800;210;280;EN;Threatened;VU;Threatened;Falcons;Small;N/A;70;No;Yes;B,W
A515;Glareola nordmanni;N;-1;0;0;RE;Threatened;CR;Threatened;Coursers and pratincoles;Small;N/A;0;No;Yes;Charadriiformes
A516;Charadrius leschenaultii;Y;-1;15;25;CR ;Threatened;CR;Threatened;Plovers;Small;Yes;10;No;Yes;Threatened
A532;Oenanthe finschii;Y;-1;150;300;NT;Near Threatened;NE;Not Evaluated;Chats and flycatchers;Small;Yes;150;No;No;Not
A533;Oenanthe pleschanka;N;1300;610;1200;LC;Unknown;LC;Unknown;Chats and flycatchers;Small;N/A;590;No;Yes;Passeriformes
A534;Tarsiger cyanurus;N;11800;750;5600;LC;Secure;LC;Secure;Chats and flycatchers;Small;N/A;4850;No;No;Passeriformes
A540;Emberiza aureola;N;-1;0;0;CR ;Threatened;CR;Threatened;Buntings;Small;N/A;0;No;Yes;Threatened
A542;Emberiza rustica;N;212000;167000;319000;LC;Depleted;VU;Threatened;Buntings;Small;N/A;152000;No;No;Passeriformes
A544;Loxia leucoptera;N;137000;2200;56000;LC;Secure;LC;Secure;Finches;Small;N/A;53800;No;No;Passeriformes
A545;Pinicola enucleator;N;127000;6800;22800;LC;Secure;LC;Secure;Finches;Small;N/A;16000;No;No;Passeriformes
A548;Perisoreus infaustus;N;352000;70500;155000;LC;Secure;LC;Secure;Crows and jays;Large;N/A;84500;No;No;Passeriformes
A569;Sylvia balearica;N;3100;14000;25000;LC;Secure;NE;Not Evaluated;Warblers;Small;N/A;11000;No;No;B
A570;Sylvia hortensis s. str.;N;100000;123000;246000;LC;Secure;LC;Secure;Warblers;Small;N/A;123000;No;No;Secure
A571;Sylvia crassirostris;N;203000;16000;62000;LC;Unknown;NE;Not Evaluated;Warblers;Small;N/A;46000;No;No;B
A572;Phylloscopus collybita s. str.;N;2990000;21200000;32700000;LC;Secure;LC;Secure;Warblers;Large;N/A;11500000;Yes;No;Secure
A573;Phylloscopus trochiloides s. str.;N;145000;41100;125000;LC;Secure;LC;Secure;Warblers;Small;N/A;83900;No;No;I
A574;Sylvia curruca;N;2250000;2440000;4040000;LC;Secure;LC;Secure;Warblers;Large;N/A;1600000;Yes;No;B
A604;Larus michahellis;N;232000;382000;491000;LC;Unknown;LC;Secure;Gulls and terns;Large;N/A;109000;No;No;Charadriiformes
A605;Phylloscopus borealis;N;3600;160;830;VU;Threatened;VU;Threatened;Warblers;Small;N/A;670;No;Yes;B
A608;Motacilla citreola;N;10800;460;850;LC;Secure;LC;Secure;Wagtails and pipits;Small;N/A;390;No;No;Passeriformes
A613;Phylloscopus canariensis;N;7400;20000;100000;LC;Unknown;LC;Secure;Warblers;Small;N/A;80000;No;No;Passeriformes
A618;Phylloscopus ibericus;N;86300;462000;768000;LC;Secure;LC;Secure;Warblers;Small;N/A;306000;No;No;Passeriformes
A620;Passer domesticus s. str.;N;2980000;109000000;144000000;LC;Depleted;LC;Depleted;Sparrows, snowfinches and allies;Large;N/A;35000000;Yes;No;Depleted
A621;Passer italiae;N;295000;2100000;3430000;VU;Threatened;NE;Not Evaluated;Sparrows, snowfinches and allies;Large;N/A;1330000;No;No;Evaluated
A623;Carduelis citrinella s. str.;N;73900;240000;263000;LC;Secure;LC;Secure;Finches;Small;N/A;23000;No;No;Secure
A629;Lagopus lagopus rossica;N;1700;10;21;CR ;Threatened;NE;Not Evaluated;Pheasants, partridges and grouse;Small;N/A;11;No;No;NE
A637;Certhia brachydactyla all others;N;1730000;4770000;7690000;LC;Secure;NE;Not Evaluated;Treecreepers;Large;N/A;2920000;Yes;No;Not
A644;Perdix perdix all others;N;1270000;762000;1290000;VU;Threatened;NE;Not Evaluated;Pheasants, partridges and grouse;Large;N/A;528000;No;No;NE
A652;Regulus madeirensis;N;1600;50000;100000;LC;Secure;LC;Secure;Goldcrests;Small;N/A;50000;No;No;Passeriformes
A657;Fringilla coelebs all others;N;4630000;82300000;121000000;LC;Secure;NE;Not Evaluated;Finches;Large;N/A;38700000;Yes;No;Not
A658;Dendrocopos major all others;N;3200000;4540000;6980000;LC;Secure;NE;Not Evaluated;Woodpeckers;Large;N/A;2440000;Yes;No;Not
A663;Phoenicopterus roseus;N;7500;24600;84500;LC;Secure;LC;Secure;Flamingos;Small;N/A;59900;No;No;Phoenicopteriformes
A666;Anthus petrosus;N;162000;64700;82300;LC;Unknown;LC;Unknown;Wagtails and pipits;Small;N/A;17600;No;No;Passeriformes
A669;Carduelis corsicana;N;17500;13000;25500;LC;Unknown;LC;Unknown;Finches;Small;N/A;12500;No;No;Passeriformes
A672;Calidris alpina alpina;N;88200;21500;39500;LC;Secure;NE;Not Evaluated;Sandpipers, snipes and phalaropes;Small;N/A;18000;No;No;Evaluated
A676;Troglodytes troglodytes all others;N;3300000;29700000;48400000;LC;Secure;NE;Not Evaluated;Wrens;Large;N/A;18700000;Yes;No;Not
A677;Apus affinis;N;1000;22;22;VU;Threatened;VU;Threatened;Swifts;Small;N/A;0;No;No;B
A679;Acrocephalus dumetorum;N;233000;120000;313000;LC;Secure;LC;Secure;Warblers;Large;N/A;193000;No;No;Passeriformes
A680;Acrocephalus agricola;N;470;3000;20200;LC;Unknown;LC;Unknown;Warblers;Small;N/A;17200;No;No;Passeriformes
A684;Phalacrocorax aristotelis aristotelis;N;71600;27900;35200;LC;Depleted;NE;Not Evaluated;Cormorants;Small;N/A;7300;No;No;Evaluated
A686;Iduna caligata;N;7600;460;1800;LC;Secure;LC;Unknown;Warblers;Small;N/A;1340;No;No;Passeriformes
A687;Columba palumbus palumbus;N;3520000;18900000;25900000;LC;Secure;NE;Not Evaluated;Pigeons and doves;Large;N/A;7000000;Yes;No;Evaluated
A693;Puffinus mauretanicus;N;1700;2900;3000;CR ;Threatened;CR;Threatened;Petrels and shearwaters;Small;N/A;100;No;Yes;B,W
A701;Anser fabalis fabalis;N;102000;1200;3100;VU;Threatened;NE;Not Evaluated;Ducks, geese and swans;Small;N/A;1900;No;No;Not
A702;Anser fabalis rossicus;Y;-1;647000;878000;LC;Secure;NE;Not Evaluated;Ducks, geese and swans;Small;No;231000;No;No;Evaluated
A707;Aquila fasciata;N;153000;1000;1200;LC;Secure;NT;Near Threatened;Hawks and eagles;Small;N/A;200;No;No;B
A711;Lagopus lagopus scotica;N;87200;264000;265000;LC;Secure;LC;Secure;Pheasants, partridges and grouse;Small;N/A;1000;No;No;B
A712;Lagopus muta pyrenaica;N;7000;1300;5400;NT;Near Threatened;NT;Near Threatened;Pheasants, partridges and grouse;Small;N/A;4100;No;Yes;NT
A713;Lagopus muta helvetica;N;88200;23400;31800;LC;Secure;LC;Secure;Pheasants, partridges and grouse;Small;N/A;8400;No;No;B
A716;Francolinus francolinus francolinus;N;6900;3600;7600;LC;Secure;NE;Not Evaluated;Pheasants, partridges and grouse;Small;N/A;4000;No;No;Evaluated
A717;Turnix sylvaticus;N;-1;0;0;RE;Threatened;CR (PE);Threatened;Buttonquails;Small;N/A;0;No;Yes;B
A722;Porphyrio porphyrio porphyrio;N;32900;4000;4800;LC;Secure;LC;Secure;Rails, gallinules and coots;Small;N/A;800;No;No;B
A727;Eudromias morinellus;N;98900;3700;7800;LC;Unknown;LC;Secure;Plovers;Small;N/A;4100;No;No;Charadriiformes
A728;Vanellus spinosus;N;4400;80;130;VU;Threatened;VU;Threatened;Plovers;Small;N/A;50;No;No;B,W
A734;Chlidonias hybrida;N;41900;25100;41500;LC;Unknown;LC;Unknown;Gulls and terns;Small;N/A;16400;No;No;Charadriiformes
A736;Bubo scandiacus;N;5200;0;47;CR ;Threatened;CR;Threatened;Typical owls;Small;N/A;47;No;Yes;B
A738;Delichon urbicum;N;3530000;8550000;18600000;LC;Depleted;LC;Depleted;Swallows and martins;Large;N/A;10050000;Yes;No;Passeriformes
A767;Mergellus albellus;N;145000;2800;6900;LC;Secure;LC;Secure;Ducks, geese and swans;Small;N/A;4100;No;No;Anseriformes
A773;Ardea alba;N;110000;7700;10800;LC;Secure;LC;Secure;Herons;Small;N/A;3100;No;No;Pelecaniformes
A798;Larus armenicus;Y;-1;50;200;VU;Threatened;NE;Not Evaluated;Gulls and terns;Small;Yes;150;No;No;Evaluated
A800;Larus ichthyaetus;N;-1;0;0;Unknown;Not Evaluated;NE;Not Evaluated;Gulls and terns;Small;N/A;0;No;No;Evaluated
A839;Lagopus muta;N;197000;113000;247000;LC;Secure;VU;Threatened;Pheasants, partridges and grouse;Small;N/A;134000;No;No;Galliformes
A850;Calonectris diomedea s. str.;N;122000;28500;47100;LC;Unknown;LC;Secure;Petrels and shearwaters;Small;N/A;18600;No;No;Unknown
A851;Calonectris borealis;N;12700;251000;253000;LC;Unknown;LC;Unknown;Petrels and shearwaters;Small;N/A;2000;No;No;Procellariiformes
A854;Hydrobates leucorhous;N;500;36700;65200;VU;Threatened;VU;Threatened;Northern storm-petrels;Small;N/A;28500;No;Yes;B
A855;Mareca penelope;N;508000;41600;70100;VU;Threatened;VU;Threatened;Ducks, geese and swans;Large;N/A;28500;No;Yes;B,W
A856;Spatula querquedula;N;337000;9100;18200;VU;Threatened;VU;Threatened;Ducks, geese and swans;Large;N/A;9100;No;Yes;B
A857;Spatula clypeata;N;481000;24100;34500;NT;Near Threatened;LC;Depleted;Ducks, geese and swans;Large;N/A;10400;No;Yes;Depleted
A858;Clanga pomarina;N;196000;10800;15300;LC;Secure;LC;Secure;Hawks and eagles;Small;N/A;4500;No;No;Accipitriformes
A859;Clanga clanga;N;3100;18;31;CR ;Threatened;CR;Threatened;Hawks and eagles;Small;N/A;13;No;Yes;Threatened
A860;Calidris falcinellus;N;135000;18300;32900;VU;Threatened;LC;Unknown;Sandpipers, snipes and phalaropes;Small;N/A;14600;No;Yes;B
A861;Calidris pugnax;N;223000;41500;94700;NT;Near Threatened;EN;Threatened;Sandpipers, snipes and phalaropes;Large;N/A;53200;No;Yes;Threatened
A862;Hydrocoloeus minutus;N;182000;11700;16000;LC;Secure;LC;Secure;Gulls and terns;Small;N/A;4300;No;No;Charadriiformes
A863;Thalasseus sandvicensis;N;24800;59000;68700;LC;Secure;LC;Secure;Gulls and terns;Small;N/A;9700;No;No;Charadriiformes
A866;Picus viridis s. str.;N;2010000;500000;912000;LC;Secure;LC;Secure;Woodpeckers;Large;N/A;412000;No;No;Secure
A867;Picus sharpei;N;184000;244000;469000;LC;Declining;NT;Near Threatened;Woodpeckers;Small;N/A;225000;No;No;B
A868;Leiopicus medius;N;1040000;254000;562000;LC;Secure;LC;Secure;Woodpeckers;Large;N/A;308000;No;No;Piciformes
A869;Dryobates minor;N;1730000;177000;374000;NT;Near Threatened;LC;Secure;Woodpeckers;Large;N/A;197000;No;Yes;Secure
A872;Pterodroma deserta;N;200;160;180;VU;Threatened;VU;Threatened;Petrels and shearwaters;Small;N/A;20;No;Yes;B
A874;Hydrobates castro;N;2500;6600;2200;LC;Unknown;LC;Unknown;Northern storm-petrels;Small;N/A;-4400;No;No;Procellariiformes
A875;Microcarbo pygmaeus;N;21600;16100;18300;LC;Secure;LC;Secure;Cormorants;Small;N/A;2200;No;No;Suliformes
A876;Lyrurus tetrix tetrix;N;911000;518000;863000;VU;Threatened;NE;Not Evaluated;Pheasants, partridges and grouse;Large;N/A;345000;No;No;Not
A877;Lyrurus tetrix britannicus;N;43300;4800;4900;LC;Depleted;VU;Threatened;Pheasants, partridges and grouse;Small;N/A;100;No;No;B
A878;Alectoris graeca all others;N;186000;24000;36200;NT;Near Threatened;NE;Not Evaluated;Pheasants, partridges and grouse;Small;N/A;12200;No;No;C
A880;Puffinus lherminieri;N;4000;2500;5900;NT;Near Threatened;NT;Near Threatened;Petrels and shearwaters;Small;N/A;3400;No;Yes;C
A882;Onychoprion fuscatus;N;-1;1;1;CR ;Threatened;NE;Not Evaluated;Gulls and terns;Small;N/A;0;No;No;Evaluated
A884;Hydrobates monteiroi;N;-1;360;390;VU;Threatened;VU;Threatened;Northern storm-petrels;Small;N/A;30;No;Yes;B
A885;Sternula albifrons;N;100000;12600;18100;LC;Secure;LC;Secure;Gulls and terns;Small;N/A;5500;No;No;Charadriiformes
A887;Uria aalge all others;N;32300;1650000;1670000;LC;Secure;NE;Not Evaluated;Auks;Small;N/A;20000;No;No;Not
A889;Mareca strepera;N;546000;52400;77500;LC;Secure;LC;Secure;Ducks, geese and swans;Large;N/A;25100;No;No;Anseriformes
A891;Lagopus muta all others;N;102000;89000;210000;LC;Secure;NE;Not Evaluated;Pheasants, partridges and grouse;Small;N/A;121000;No;No;Not
A892;Zapornia parva;N;54400;6000;16400;LC;Unknown;LC;Unknown;Rails, gallinules and coots;Small;N/A;10400;No;No;Gruiformes
A893;Zapornia pusilla;N;9800;110;300;NT;Near Threatened;NT;Near Threatened;Rails, gallinules and coots;Small;N/A;190;No;No;Near
A894;Hydroprogne caspia;N;34800;1700;2100;LC;Depleted;NT;Near Threatened;Gulls and terns;Small;N/A;400;No;No;B,W
A897;Spilopelia senegalensis;N;600;60;80;NT;Near Threatened;NE;Not Evaluated;Pigeons and doves;Small;N/A;20;No;No;Not
A898;Accipiter nisus all others;N;2760000;198000;341000;LC;Secure;NE;Not Evaluated;Hawks and eagles;Large;N/A;143000;No;No;Not
A899;Accipiter gentilis all others;N;1890000;56300;95300;LC;Secure;NE;Not Evaluated;Hawks and eagles;Large;N/A;39000;No;No;Not
A900;Melanitta nigra s. str.;N;165000;6000;9900;LC;Unknown;LC;Secure;Ducks, geese and swans;Small;N/A;3900;No;No;Unknown
A907;Sylvia subalpina;N;65600;51000;133000;LC;Secure;NE;Not Evaluated;Warblers;Small;N/A;82000;No;No;B
A909;Lyrurus tetrix;N;954000;523000;868000;VU;Threatened;LC;Depleted;Pheasants, partridges and grouse;Large;N/A;345000;No;Yes;B
